'591930628716630017','1361756911','2015-04-25 06:16:00',Major earthquake hits Kathmandu. Major one.,,,
'591934366730756096','188687596','2015-04-25 06:16:00',Huge earthquake in Kathmandu. I'm terrified.,,,
'591957699815972865','47064286','2015-04-25 06:16:00',Major earthquake hits  Kathmandu. Major one.,,,
'591907070854598656','2399170735','2015-04-25 06:16:00',Roads cracked! Walls down! Sky full of dust! #earthquake #Kathmandu,,,
'591950965504286720','554187831','2015-04-25 06:18:00',Severe earthquake hit kathmandu,,,
'592222401695326208','2388464525','2015-04-25 06:18:00',"[TRANS] Nepal library fund-raising charity photo exhibition 25th April, Saturday, 3pm Bundang-gu (cont) ",,,
'591934457545764864','1541025156','2015-04-25 06:19:00',Locals dragged me into a cafe in patan Durban square. A little more open. But I'm scared. Aftershocks.,,,
'591945217911042049','143756229','2015-04-25 06:19:00',EARTHQUAKE IN  #KATHMANDU   #NEPAL  EVERYTHING IS SHAKING!!!!!!! ,,,
'591958250255470592','154462629','2015-04-25 06:19:00',Earthquake in Kathmandu! Everyone in the streets. That's a new one for me!  #earthquake   #survived  ,,,
'591966123513413634','2237200244','2015-04-25 06:19:00',Never experience an  #earthquake  like this in  #kathmandu ! Stay safe people !,,,
'591921398400098304','426957556','2015-04-25 06:19:00',EARTHQUAKE IN #KATHMANDU #NEPAL EVERYTHING IS SHAKING!!!!!!!,,,
'591928839061778432','11604242','2015-04-25 06:20:00',Major #earthquake shakes #Nepal 8 min ago. More info at:,,,
'591985611814363136','586564005','2015-04-25 06:20:00',Major  #earthquake  shakes  #Nepal  8 min ago. More info at: ,,,
'591924711879245824','127289951','2015-04-25 06:20:00',Big cracks up the side of buildings. #earthquake #Kathmandu,,,
'591978922146799617','322658873','2015-04-25 06:22:00',MAJOR  #EARTHQUAKE  in Kathmandu. BE CAREFUL. LASTED ALMOST A MINUTE NOW,,,
'591915811251564544','47064286','2015-04-25 06:22:00',"A massive #earthquake shakes #kathmandu , #nepal",,,
'591926615589793792','1696323559','2015-04-25 06:22:00',Nepal inch closer to title - E Kantipur,,,
'591938826030948352','35480744','2015-04-25 06:23:00',"Large #quake felt across northern #India , #Nepal , #Bhutan -- lasting two minutes. #VOAalert",,,
'592157257120423936','2267417827','2015-04-25 06:23:00',"Earthquake in north India lasted 20 seconds and measured 6 on the Richter scale, epicentre was in Nepal: CNN-IBN",,,
'591924749044965376','127289951','2015-04-25 06:23:00',Stood under reinforced door arches. Falling masonry always dangerous. #earthquake #Kathmandu (I'm still shaking) Ground still shaking!,,,
'591931273838501889','400028717','2015-04-25 06:24:00',Just felt the tremors a short while back - earthquake in north India. Epicentre in Nepal apparently.,,,
'591909900034281472','98800108','2015-04-25 06:24:00',"7.4 on Richter scale, epicentre in Nepal: Initial reports",,,
'591933579669540865','3094481966','2015-04-25 06:25:00',#Earthquake possibly felt 2 min ago in #Nepal . Felt it? See,,,
'591933585516429312','3094481966','2015-04-25 06:25:00',"#Earthquake in #Nepal 7.4, 65 km NW of Khatmandu, Depth about 33 km.",,,
'592184032751816706','124972635','2015-04-25 06:25:00',Massive earthquake which rocked Guwahati was 7.5 on Richter scale . epicenter was in Nepal.,,,
'592784810281664514','135493977','2015-04-25 06:25:00',Uh-oh - if initial data is right this will be a bad one. M=7.7  #earthquake  at 10 km depth in eastern  #Nepal : ,,,
'591938867416141824','35480744','2015-04-25 06:26:00',"Quake is a big one prelim M7+. There will be serious damage, casualties. #India #Nepal #Bhutan",,,
'591923947035168770','63758402','2015-04-25 06:26:00',"Dust from collapsing buildings in Kathmandu? Speculation at present, but this is looking ominous #earthquake #nepal",,,
'592793969500758019','135493977','2015-04-25 06:26:00',"Dust from collapsing buildings in Kathmandu? Speculation at present, but this is looking ominous  #earthquake   #nepal",,,
