'591930628716630017','1361756911','2015-04-25 06:16:00',Major earthquake hits Kathmandu. Major one.
'591934366730756096','188687596','2015-04-25 06:16:00',Huge earthquake in Kathmandu. I'm terrified.
'591957699815972865','47064286','2015-04-25 06:16:00',Major earthquake hits  Kathmandu. Major one.
'591907070854598656','2399170735','2015-04-25 06:16:00',Roads cracked! Walls down! Sky full of dust! #earthquake #Kathmandu
'591950965504286720','554187831','2015-04-25 06:18:00',Severe earthquake hit kathmandu
'592222401695326208','2388464525','2015-04-25 06:18:00',"[TRANS] Nepal library fund-raising charity photo exhibition 25th April, Saturday, 3pm Bundang-gu (cont) "
'591934457545764864','1541025156','2015-04-25 06:19:00',Locals dragged me into a cafe in patan Durban square. A little more open. But I'm scared. Aftershocks.
'591945217911042049','143756229','2015-04-25 06:19:00',EARTHQUAKE IN  #KATHMANDU   #NEPAL  EVERYTHING IS SHAKING!!!!!!! 
'591958250255470592','154462629','2015-04-25 06:19:00',Earthquake in Kathmandu! Everyone in the streets. That's a new one for me!  #earthquake   #survived  
'591966123513413634','2237200244','2015-04-25 06:19:00',Never experience an  #earthquake  like this in  #kathmandu ! Stay safe people !
